lever_dropped,n_features,fold,train_years,val_year,test_years,n_train,n_val,n_test,best_iter,val_auc,val_ap,test_auc,test_ap,test_ap_lift,test_brier_raw,test_brier_calibrated,test_pos_rate
none_baseline,20,F1,2009-2010,2011,2012-2013,1198055,246325,393582,265,0.9009579349516428,0.45573745692053774,0.9420301511277426,0.5139024472966285,35.97701049660292,0.010360976681113243,0.009058292955160141,0.014284189825754226
none_baseline,20,F2,2009-2011,2012,2013-2014,1444380,249889,246063,9,0.9365054666051088,0.5610747435786276,0.8927423937148421,0.5054631799253877,26.678632870437728,0.013453819788992405,0.011483028531074524,0.018946367393716242
none_baseline,20,F3,2009-2012,2013,2014-2015,1694269,143693,200315,60,0.9315299409941409,0.4666215884500006,0.9299414455643775,0.6722755768473907,28.488868664308246,0.011654513888061047,0.011338415555655956,0.023597833412375507
none_baseline,20,F4,2009-2013,2014,2015-2016,1837962,102370,184700,267,0.9362353125565996,0.6427536764223297,0.8623204999571448,0.4888197351017424,13.727384076827098,0.024278705939650536,0.023230355232954025,0.03560909583107742
none_baseline,20,F5,2009-2014,2015,2016-2017,1940332,97945,171646,215,0.9487086231250198,0.7313475622446785,0.7859312448163475,0.32654770800570115,6.557160492319441,0.04171014577150345,0.040690675377845764,0.04980017011756755
none_baseline,20,F6,2009-2015,2016,2017-2018,2038277,86755,168132,145,0.807666649184302,0.3730517934990155,0.7608870982049158,0.275808222860226,5.713675224979734,0.04276040568947792,0.03951277583837509,0.04827159612685271
branch_access,17,F1,2009-2010,2011,2012-2013,1198055,246325,393582,19,0.884151292293589,0.4095066280038409,0.9220410395688597,0.4852703053046931,33.97254665642684,0.011069847270846367,0.008687778376042843,0.014284189825754226
branch_access,17,F2,2009-2011,2012,2013-2014,1444380,249889,246063,25,0.9416581814855371,0.5648524123435642,0.9034588071398191,0.5070550939537926,26.762654994326912,0.012667106464505196,0.011582298204302788,0.018946367393716242
branch_access,17,F3,2009-2012,2013,2014-2015,1694269,143693,200315,90,0.9320322419769748,0.46005437042187103,0.9340643445691843,0.6770415613595593,28.690835702081685,0.011670115403831005,0.011210199445486069,0.023597833412375507
branch_access,17,F4,2009-2013,2014,2015-2016,1837962,102370,184700,177,0.9343188077424294,0.6371534984683411,0.8568646721118172,0.4828501819043782,13.559742830734171,0.024252314120531082,0.023171955719590187,0.03560909583107742
branch_access,17,F5,2009-2014,2015,2016-2017,1940332,97945,171646,75,0.9440956468320395,0.7286429196454933,0.7646047545572231,0.3169729754752114,6.364897443661458,0.04186719283461571,0.04077116772532463,0.04980017011756755
branch_access,17,F6,2009-2015,2016,2017-2018,2038277,86755,168132,368,0.8150166796327538,0.37389750326445553,0.7647714994549092,0.27920119575752866,5.783964446168656,0.04291194677352905,0.039906274527311325,0.04827159612685271
mdi_mission_lender,16,F1,2009-2010,2011,2012-2013,1198055,246325,393582,63,0.8761713396231317,0.4375427944244358,0.9226055472588669,0.50325106173904,35.231333934787415,0.01032943930476904,0.008983076550066471,0.014284189825754226
mdi_mission_lender,16,F2,2009-2011,2012,2013-2014,1444380,249889,246063,14,0.92604415913041,0.5684235833870881,0.9008547448932948,0.5049117287775117,26.64952696657676,0.013276573270559311,0.011410602368414402,0.018946367393716242
mdi_mission_lender,16,F3,2009-2012,2013,2014-2015,1694269,143693,200315,73,0.9270352551044558,0.4670363964984919,0.9277753566936027,0.6727346784167894,28.508323906718672,0.011411860585212708,0.01134297251701355,0.023597833412375507
