feature,importance,fold
pct_loans_from_community_banks,0.049013123,F8
pct_loans_from_top4_banks,0.02498501,F8
pct_loans_under_100k,0.018509993,F8
pct_loans_under_250k,0.021470774,F8
top1_lender_share_tract,0.036099304,F8
top3_lender_share_tract,0.2043799,F8
lender_hhi_tract,0.12296925,F8
distance_to_nearest_bank_branch,0.10579666,F8
branches_within_5mi,0.017579572,F8
branch_closures_3y_within_10mi,0.046439826,F8
pct_loans_from_credit_unions,0.085628204,F8
microloan_intermediary_within_25mi,0.020976117,F8
mdi_branches_within_10mi,0.023268012,F8
mdi_branches_within_25mi,0.033082917,F8
nearest_mdi_branch_miles,0.015482338,F8
mdi_active_in_county,0.008639291,F8
nmtc_dollars_5yr_lag2to6,0.0037735964,F8
nmtc_dollars_3yr_lag2to4,0.0059561166,F8
nmtc_projects_5yr_lag2to6,0.008193447,F8
nmtc_received_5yr_lag2to6,0.0,F8
nmtc_dollars_county_5yr_lag2to6,0.0077031474,F8
ssbci_active,0.058934223,F8
ssbci_2_0_active,0.0,F8
ssbci_program_count,0.0741884,F8
ssbci_n_capital_programs,0.0069308435,F8
