feature,importance,fold
pct_loans_from_community_banks_resid,0.020325253,F5
pct_loans_from_top4_banks_resid,0.061973747,F5
pct_loans_from_credit_unions_resid,0.032157395,F5
pct_loans_under_100k_resid,0.011480193,F5
pct_loans_under_250k_resid,0.025752451,F5
top1_lender_share_tract_resid,0.0151667595,F5
top3_lender_share_tract_resid,0.03312864,F5
lender_hhi_tract_resid,0.099468865,F5
distance_to_nearest_bank_branch,0.50723314,F5
branches_within_5mi,0.052005943,F5
branch_closures_3y_within_10mi,0.016255489,F5
microloan_intermediary_within_25mi,0.010123725,F5
mdi_branches_within_10mi,0.011675166,F5
mdi_branches_within_25mi,0.018104844,F5
nearest_mdi_branch_miles,0.024682133,F5
mdi_active_in_county,0.010141122,F5
ssbci_active,0.0425051,F5
ssbci_2_0_active,0.0,F5
ssbci_program_count,0.007819942,F5
ssbci_n_capital_programs,0.0,F5
