feature,importance,fold
pct_loans_from_community_banks_resid,0.0184082,F6
pct_loans_from_top4_banks_resid,0.03044873,F6
pct_loans_from_credit_unions_resid,0.03624428,F6
pct_loans_under_100k_resid,0.010105991,F6
pct_loans_under_250k_resid,0.021100296,F6
top1_lender_share_tract_resid,0.018344307,F6
top3_lender_share_tract_resid,0.032579973,F6
lender_hhi_tract_resid,0.0420406,F6
distance_to_nearest_bank_branch,0.4827244,F6
branches_within_5mi,0.021490226,F6
branch_closures_3y_within_10mi,0.013891481,F6
microloan_intermediary_within_25mi,0.016461797,F6
mdi_branches_within_10mi,0.014880971,F6
mdi_branches_within_25mi,0.029642813,F6
nearest_mdi_branch_miles,0.05154903,F6
mdi_active_in_county,0.02066982,F6
ssbci_active,0.09196948,F6
ssbci_2_0_active,0.0,F6
ssbci_program_count,0.036058366,F6
ssbci_n_capital_programs,0.011389316,F6
