feature,importance,fold
pct_loans_from_community_banks,0.03148198,F5
pct_loans_from_top4_banks,0.017679965,F5
pct_loans_under_100k,0.017025588,F5
pct_loans_under_250k,0.019940589,F5
top1_lender_share_tract,0.022909015,F5
top3_lender_share_tract,0.29261386,F5
lender_hhi_tract,0.14128527,F5
distance_to_nearest_bank_branch,0.14260457,F5
branches_within_5mi,0.03246269,F5
branch_closures_3y_within_10mi,0.020333553,F5
pct_loans_from_credit_unions,0.028119741,F5
cdfi_within_10mi,0.0,F5
mdi_branches_within_10mi,0.0,F5
microloan_intermediary_within_25mi,0.018848209,F5
pct_loans_from_community_banks_lag2to5_mean,0.010877873,F5
pct_loans_from_top4_banks_lag2to5_mean,0.011713882,F5
pct_loans_from_credit_unions_lag2to5_mean,0.028544163,F5
pct_loans_under_100k_lag2to5_mean,0.014572744,F5
pct_loans_under_250k_lag2to5_mean,0.016007155,F5
top1_lender_share_tract_lag2to5_mean,0.012283714,F5
top3_lender_share_tract_lag2to5_mean,0.102973856,F5
lender_hhi_tract_lag2to5_mean,0.017721556,F5
