feature,importance,regime,rank
lender_hhi_tract_resid,0.17697841,postcovid,1
top3_lender_share_tract_resid,0.103442796,postcovid,2
distance_to_nearest_bank_branch,0.09596183,postcovid,3
top1_lender_share_tract_resid,0.083777405,postcovid,4
branch_closures_3y_within_10mi,0.07161464,postcovid,5
mdi_branches_within_25mi,0.06335628,postcovid,6
pct_loans_from_top4_banks_resid,0.055524774,postcovid,7
branches_within_5mi,0.050381713,postcovid,8
microloan_intermediary_within_25mi,0.046611723,postcovid,9
mdi_branches_within_10mi,0.04602702,postcovid,10
pct_loans_from_community_banks_resid,0.04223857,postcovid,11
nearest_mdi_branch_miles,0.041973166,postcovid,12
pct_loans_under_250k_resid,0.041866027,postcovid,13
mdi_active_in_county,0.041596457,postcovid,14
pct_loans_under_100k_resid,0.03864921,postcovid,15
pct_loans_from_credit_unions_resid,0.0,postcovid,16
ssbci_active,0.0,postcovid,17
ssbci_2_0_active,0.0,postcovid,18
ssbci_program_count,0.0,postcovid,19
ssbci_n_capital_programs,0.0,postcovid,20
