feature,importance,regime,rank
distance_to_nearest_bank_branch,0.49395022,precovid,1
lender_hhi_tract_resid,0.08387824,precovid,2
branches_within_5mi,0.06114327,precovid,3
pct_loans_from_top4_banks_resid,0.057085555,precovid,4
ssbci_active,0.043063775,precovid,5
pct_loans_from_credit_unions_resid,0.036850076,precovid,6
top3_lender_share_tract_resid,0.032166697,precovid,7
nearest_mdi_branch_miles,0.024253136,precovid,8
mdi_branches_within_10mi,0.024195837,precovid,9
pct_loans_under_250k_resid,0.023321556,precovid,10
pct_loans_from_community_banks_resid,0.021375813,precovid,11
mdi_branches_within_25mi,0.017447941,precovid,12
top1_lender_share_tract_resid,0.01743412,precovid,13
branch_closures_3y_within_10mi,0.016869316,precovid,14
ssbci_program_count,0.01454048,precovid,15
pct_loans_under_100k_resid,0.012875666,precovid,16
mdi_active_in_county,0.01026423,precovid,17
microloan_intermediary_within_25mi,0.009284042,precovid,18
ssbci_2_0_active,0.0,precovid,19
ssbci_n_capital_programs,0.0,precovid,20
