feature,importance,regime,rank
distance_to_nearest_bank_branch,0.4455847,postcovid,1
mdi_branches_within_10mi,0.119831994,postcovid,2
lender_hhi_tract_resid,0.082316875,postcovid,3
branch_closures_3y_within_10mi,0.05917069,postcovid,4
mdi_branches_within_25mi,0.051669862,postcovid,5
top3_lender_share_tract_resid,0.05124646,postcovid,6
top1_lender_share_tract_resid,0.03485374,postcovid,7
pct_loans_from_top4_banks_resid,0.030313026,postcovid,8
nearest_mdi_branch_miles,0.025706926,postcovid,9
pct_loans_from_community_banks_resid,0.023465803,postcovid,10
pct_loans_under_250k_resid,0.016746197,postcovid,11
microloan_intermediary_within_25mi,0.016176589,postcovid,12
mdi_active_in_county,0.015137995,postcovid,13
branches_within_5mi,0.01472776,postcovid,14
pct_loans_under_100k_resid,0.013051359,postcovid,15
pct_loans_from_credit_unions_resid,0.0,postcovid,16
ssbci_active,0.0,postcovid,17
ssbci_2_0_active,0.0,postcovid,18
ssbci_program_count,0.0,postcovid,19
ssbci_n_capital_programs,0.0,postcovid,20
