feature,importance,regime,rank
distance_to_nearest_bank_branch,0.33122796,precovid,1
ssbci_active,0.13843471,precovid,2
nearest_mdi_branch_miles,0.077657685,precovid,3
pct_loans_from_credit_unions_resid,0.07130333,precovid,4
top3_lender_share_tract_resid,0.052932594,precovid,5
pct_loans_from_top4_banks_resid,0.041348565,precovid,6
lender_hhi_tract_resid,0.040843632,precovid,7
pct_loans_under_250k_resid,0.036408197,precovid,8
top1_lender_share_tract_resid,0.03133733,precovid,9
branches_within_5mi,0.025169013,precovid,10
mdi_branches_within_25mi,0.024835782,precovid,11
branch_closures_3y_within_10mi,0.022923242,precovid,12
mdi_branches_within_10mi,0.021966975,precovid,13
pct_loans_from_community_banks_resid,0.019350829,precovid,14
pct_loans_under_100k_resid,0.018603293,precovid,15
ssbci_program_count,0.015600919,precovid,16
mdi_active_in_county,0.015133946,precovid,17
microloan_intermediary_within_25mi,0.014922077,precovid,18
ssbci_2_0_active,0.0,precovid,19
ssbci_n_capital_programs,0.0,precovid,20
