threshold,n_treated,n_caught,nb_model,nb_treat_all,nb_treat_none,advantage_over_treat_all
0.01,290500,32178,0.01966799513146405,0.014823788019849455,0.0,0.004844207111614594
0.02,233606,29146,0.01661134524470049,0.004770969530256082,0.0,0.011840375714444407
0.03,139706,26526,0.015315767906596472,-0.0054891235673701425,0.0,0.020804891473966615
0.04,108298,23840,0.013516720977221936,-0.015962968604530253,0.0,0.02947968958175219
0.05,89301,21451,0.011893078625867158,-0.026657315642472673,0.0,0.03855039426833983
0.06,76111,19568,0.010615250683571694,-0.037579201979094715,0.0,0.04819445266266641
0.07,65796,17876,0.009491288879320079,-0.04873596759177318,0.0,0.05822725647109325
0.08,57743,16476,0.00857233096206596,-0.060135271587335906,0.0,0.06870760254940186
0.09,51007,15210,0.007762210471286153,-0.0717851097366473,0.0,0.07954732020793345
0.1,45330,14078,0.007054422672182788,-0.0836938331781656,0.0,0.09074825585034839
0.11,40622,13071,0.00642934554265597,-0.09587016838241465,0.0,0.10229951392507061
0.12,36463,12116,0.005850743117029799,-0.10832323847766935,0.0,0.11417398159469914
0.13,32855,11262,0.005344890165043519,-0.12106258604637822,0.0,0.12640747621142173
0.14,29602,10431,0.004862434014094617,-0.13409819751203378,0.0,0.1389606315261284
0.15,26718,9689,0.004445870936397235,-0.14744052924746948,0.0,0.1518864001838667
0.16,24222,9031,0.004082421798771038,-0.1611005355480346,0.0,0.16518295734680566
0.17,21960,8419,0.0037552055111908338,-0.17508969862692658,0.0,0.1788449041381174
0.18,20030,7860,0.003451222326970066,-0.18942006080530366,0.0,0.19287128313227372
0.19,18343,7391,0.0032074239806404404,-0.20410425908685065,0.0,0.2073116830674911
0.2,16731,6895,0.002950662868142752,-0.21915556232543631,0.0,0.22210622519357906
0.21,15294,6409,0.0026920239358636747,-0.23458791121563166,0.0,0.23727993515149534
0.22,13966,5994,0.0024913593200219897,-0.25041596135942185,0.0,0.2529073206794438
0.23,12743,5551,0.0022633767660843115,-0.266655129688765,0.0,0.26891850645484927
0.24,11609,5181,0.0020959984881896293,-0.28332164455309083,0.0,0.2854176430412805
0.25,10633,4849,0.001942940991398778,-0.3004325998137987,0.0,0.3023755408051975
0.26,9682,4499,0.0017812704385924524,-0.31800601332479606,0.0,0.3197872837633885
0.27,8830,4174,0.001630924894601057,-0.3360608902196563,0.0,0.33769181511425733
0.28,8019,3861,0.001492625670899985,-0.3546172914727071,0.0,0.35610991714360707
0.29,7293,3573,0.0013659542861981279,-0.37369640825401274,0.0,0.37506236254021086
0.3,6654,3318,0.0012560177054975813,-0.39332064265764155,0.0,0.39457666036313915
0.31,6037,3082,0.001166956104132475,-0.4135136954497813,0.0,0.41468065155391376
0.32,5509,2878,0.0010907889916470007,-0.4343006615593369,0.0,0.4353914505509839
0.33,5045,2667,0.000994915007909929,-0.45570813411992406,0.0,0.456703049127834
0.34,4600,2491,0.0009342516049021541,-0.4777643179702259,0.0,0.4786985695751281
0.35,4147,2281,0.0008489014296552054,-0.5004991536313064,0.0,0.5013480550609616
0.36,3724,2082,0.0007705081379361723,-0.5239444529067954,0.0,0.5247149610447316
0.37,3345,1901,0.000700374358990115,-0.5481340473973795,0.0,0.5488344217563695
0.38,3072,1758,0.0006336642704993727,-0.5731039513876598,0.0,0.5737376156581592
0.39,2773,1606,0.0005719638110788473,-0.5988925407546706,0.0,0.5994645045657494
0.4,2531,1494,0.0005339041318370714,-0.6255407497672485,0.0,0.6260746538990856
0.41,2283,1363,0.0004813637743618892,-0.6530922878988967,0.0,0.6535736516732586
0.42,2083,1258,0.00043939747337622196,-0.6815938790695673,0.0,0.6820332765429434
0.43,1871,1145,0.00039731233556252783,-0.7110955260707877,0.0,0.7114928384063502
0.44,1692,1048,0.00036051832158101257,-0.7416508033220519,0.0,0.7420113216436329
0.45,1532,966,0.00033451649697855784,-0.773317181564271,0.0,0.7736516980612496
0.46,1383,886,0.0003077240914902574,-0.806156388630276,0.0,0.8064641127217663
0.47,1250,812,0.00028175298751979843,-0.8402348110572624,0.0,0.8405165640447821
0.48,1119,747,0.0002684700018926444,-0.8756239420391327,0.0,0.8758924120410254
0.49,1015,687,0.0002473493223639354,-0.9124008820791157,0.0,0.9126482314014797
