bin_low,bin_high,n,mean_predicted,mean_observed
0.0,0.1,1444992,0.014473238959908485,0.019548205111170166
0.1,0.2,46459,0.13431362807750702,0.13263307432359714
0.2,0.30000000000000004,8597,0.23863063752651215,0.19204373618704199
0.30000000000000004,0.4,2232,0.3397766351699829,0.26030465949820786
0.4,0.5,662,0.43942469358444214,0.3293051359516616
0.5,0.6000000000000001,238,0.5425130128860474,0.4495798319327731
0.6000000000000001,0.7000000000000001,123,0.6445050239562988,0.5528455284552846
0.7000000000000001,0.8,65,0.7382297515869141,0.6461538461538462
0.8,0.9,16,0.8497700691223145,0.875
0.9,1.0,7,0.9160614609718323,1.0
