feature,importance
ruca_code,0.282660
housing_units,0.107467
fdic_bank_count_chg3yr,0.067211
fdic_total_branch_deposits_k_chg3yr,0.051704
median_hh_income,0.040611
fdic_branch_count,0.027894
cra_county_top_lender_share_count,0.024871
population,0.022550
has_hmda,0.022362
pct_poverty,0.020383
cra_county_count_hhi,0.020098
mean_loan_amount,0.018408
is_rural,0.017568
sum_loan_amount,0.017288
is_persistent_poverty,0.016369
pct_hispanic,0.015805
fdic_total_branch_deposits_k,0.014740
pct_minority,0.014676
fdic_bank_count,0.013052
fdic_deposit_hhi,0.010714
pct_black,0.010366
n_white,0.009860
n_other_race,0.009014
fdic_deposit_hhi_chg3yr,0.008305
cra_county_top_lender_share_amount,0.008086
cra_county_amount_hhi,0.008029
fdic_top_bank_share_chg3yr,0.007997
pct_vacant,0.007978
pct_bachelor_plus,0.007471
n_denied,0.007137
n_withdrawn,0.007084
fdic_total_branch_deposits_k_pctchg3yr,0.006930
fdic_bank_count_chg1yr,0.006371
fdic_total_branch_deposits_k_chg1yr,0.005804
fdic_avg_branch_deposits_k_chg3yr,0.005801
fdic_branch_count_chg3yr,0.005725
fdic_avg_branch_deposits_k,0.005615
n_applications,0.005257
n_distinct_lenders,0.004621
fdic_total_branch_deposits_k_pctchg1yr,0.004490
fdic_branch_count_chg1yr,0.004174
fdic_top_bank_share,0.003958
fdic_deposit_hhi_chg1yr,0.003437
denial_rate,0.003343
fdic_avg_branch_deposits_k_chg1yr,0.002944
unemployment_rate,0.002575
n_asian,0.002407
fdic_top_bank_share_chg1yr,0.002386
n_originated,0.001949
approval_rate,0.001836
n_hispanic,0.001358
n_black,0.000992
n_purchased,0.000268
